subject,trial_global,condition,TIME,FPOGX,FPOGY,LPMM,RPMM,pupil,aoi_current,MEDIA_ID
S01,S01::T01,A,0.0,0.47224071336947354,0.6405806713475579,3.5867777596162913,3.60762013031469,3.569535257326283,center,1
S01,S01::T01,A,0.016666666666666666,0.5178404670475695,0.551396783715624,3.531150410939377,3.5513560028979043,3.5396318239968023,center,1
S01,S01::T01,A,0.03333333333333333,0.4524437011522103,0.5563952506153738,3.562811041010143,3.553842511314909,3.5662560021961243,center,1
S01,S01::T01,A,0.05,0.5770102135610459,0.5741990494690445,3.4527632667740122,3.4829018656892146,3.458883035416217,center,1
S01,S01::T01,A,0.06666666666666667,0.5597644202796842,0.6224236080035846,3.522574953113467,3.5768113833611146,3.548285427361459,center,1
S01,S01::T01,A,0.08333333333333333,0.536365766135776,0.6885387506394149,3.60730460290976,3.571265744691405,3.5703724228823135,center,1
S01,S01::T01,A,0.1,0.5447048325008343,0.6028475035690587,3.5562772012790997,3.514609262388304,3.5499042450629026,center,1
S01,S01::T01,A,0.11666666666666667,0.5751404687904126,0.6236511089497522,3.5522924206775284,3.5177511993929023,3.493279056916164,center,1
S01,S01::T01,A,0.13333333333333333,0.5638444851764921,0.5761162547563109,3.2861035993833507,3.2832326428832,3.2817967027985775,center,1
S01,S01::T01,A,0.15,0.5738114798124059,0.5749339107492615,3.5526569589920847,3.525101763899842,3.541382662278137,center,1
S01,S01::T01,A,0.16666666666666666,0.6152023737003189,0.5411224814029822,3.523434245398793,3.493263277927171,3.516352701291527,right,1
S01,S01::T01,A,0.18333333333333332,0.6160497085047868,0.60649336255838,3.501473655743607,3.472085334167047,3.4890406659236697,right,1
S01,S01::T01,A,0.2,0.6035568676654488,0.6383093855040569,3.5823065012391404,3.5569093142200576,3.559918543021187,right,1
S01,S01::T01,A,0.21666666666666667,0.6102859906774656,0.5901587100042415,3.538204961831949,3.6055085125566526,3.531486309802241,right,1
S01,S01::T01,A,0.23333333333333334,0.626075580437892,0.6488264069178304,3.5505199669127845,3.5371091489185575,3.5304141384817576,right,1
S01,S01::T01,A,0.25,0.6057885768054169,0.6040069591720687,3.4332534209160945,3.4061646539280304,3.432143706879216,right,1
S01,S01::T01,A,0.26666666666666666,0.6196348093229613,0.5927687778143882,3.464065595147544,3.4770185462392833,3.4369600666824818,right,1
S01,S01::T01,A,0.2833333333333333,0.6590753793694794,0.6089432929224841,3.552125784164207,3.592435694343666,3.550516906143533,right,1
S01,S01::T01,A,0.3,0.6410561612275603,0.6045344502329482,3.5342371345922556,3.4927177200932995,3.53704407884231,right,1
S01,S01::T01,A,0.31666666666666665,0.602855786081491,0.6241328238307776,3.5291237254764942,3.519029874455397,3.545454682699039,right,1
S01,S01::T01,A,0.3333333333333333,0.6391798174940367,0.5522272735076605,3.545365603886744,3.5679036247488956,3.552229104477601,right,1
S01,S01::T01,A,0.35,0.6833629305391801,0.49640915821054804,3.5493287706737444,3.5705469822009306,3.5725531099630365,right,1
S01,S01::T01,A,0.36666666666666664,0.6563082853527534,0.5765680282373461,3.5611259874131767,3.5378164790047673,3.556142185054256,right,1
S01,S01::T01,A,0.38333333333333336,0.662838828411225,0.547076997685859,3.5473291817224344,3.572241729351597,3.57006215907831,right,1
S01,S01::T01,A,0.4,0.693654454919121,0.5633480131396859,3.6048931845496495,3.5680032415619976,3.583083943409286,right,1
S01,S01::T01,A,0.4166666666666667,0.7377280094040726,0.6182505007713679,3.6123124915129132,3.6275659488647363,3.631097282357841,right,1
S01,S01::T01,A,0.43333333333333335,0.6511049646166949,0.5169960610361506,3.559792989021914,3.5389688524091163,3.5525442737559927,right,1
S01,S01::T01,A,0.45,0.7249711397773182,0.5778614217707254,3.630799939232985,3.6333719198181034,3.6391536335480885,right,1
S01,S01::T01,A,0.4666666666666667,0.6359634940293941,0.5796072344285506,3.6119686391339916,3.634675001265256,3.6391134289937015,right,1
S01,S01::T01,A,0.48333333333333334,0.6858775330517364,0.557954414040522,3.6025857480437256,3.6561716721926056,3.616586943114689,right,1
S01,S01::T01,A,0.5,0.6390664668170665,0.5762298248959778,3.57847329953184,3.6028341354638425,3.5914063604109523,right,1
S01,S01::T01,A,0.5166666666666667,0.7270543527134699,0.5162276987241126,3.661454191404895,3.6240154173552104,3.6519662203732257,right,1
S01,S01::T01,A,0.5333333333333333,0.708201246051428,0.5035492647474892,3.660519419236859,3.680606020663545,3.691743161419068,right,1
S01,S01::T01,A,0.55,0.7176039887700522,0.5588501556999274,3.602158960136103,3.571263624404338,3.585594607208045,right,1
S01,S01::T01,A,0.5666666666666667,0.6450729077226426,0.5427404641925143,3.647619974672873,3.5915183164424893,3.6640238349360525,right,1
