fixation_id,duration_ms,x,y,n_samples
1,116.66666666666666,0.24225751637992332,0.6128962332969863,8
2,116.66666666666664,0.28545982893146715,0.5186073493022616,8
3,116.66666666666664,0.6600630177086639,0.35460066456972916,8
4,116.66666666666703,0.5139127860857386,0.3593338014826876,8
5,116.66666666666703,0.6377794329440529,0.48712666053929676,8
6,116.66666666666703,0.5914026330639586,0.4216962102776095,8
7,116.66666666666626,0.8042573461893805,0.38571028974022936,8
8,116.66666666666626,0.5851037710857683,0.42807481498088495,8
9,116.66666666666626,0.7097410609999887,0.5435869690118958,8
10,116.66666666666626,0.7502903637005072,0.3374371875711283,8
11,116.66666666666626,0.6213925829029217,0.2661234077795077,8
12,116.66666666666626,0.6075700108820647,0.523620303225451,8
13,116.66666666666626,0.49206919097366497,0.2138656863500712,8
14,116.66666666666626,0.45099919888321593,0.7288660434314473,8
15,116.66666666666626,0.19340493697143182,0.6593795473891519,8
16,116.66666666666626,0.3684786473397675,0.11007393919280146,8
17,116.66666666666626,0.405032728806006,0.6629717221303005,8
18,116.66666666666626,0.8245544667834974,0.21549785433838006,8
19,116.66666666666626,0.6254042283041701,0.23599281852345355,8
20,116.66666666666626,0.6267640334068785,0.12361108367955524,8
21,116.66666666666626,0.5931247270924922,0.5843772854895202,8
22,116.66666666666626,0.5500725361363268,0.16880017503563507,8
23,116.66666666666626,0.4313455384628636,0.4295793990211565,8
24,116.66666666666626,0.6832871123435406,0.2784501853897208,8
